equipment_id,equipment_name,location,responsibility,subsystem,unit_mass,equipment_margin,number_of_units,mass_class,comments
star_tracker,Jena Astro HP,Platform,Platform,ADCS,1.2 kg,5,2,equipment,Redundant pair
reaction_wheel,Rockwell RSI 45,Platform,Platform,ADCS,7.0 kg,10,4,equipment,Pyramid configuration
magnetorquer,ZARM MT30,Platform,Platform,ADCS,1.1 kg,10,3,equipment,
imu,Northrop LN-200S,Platform,Platform,ADCS,750 g,5,1,equipment,Entered in grams
gps_receiver,RUAG PODRIX,Platform,Platform,ADCS,1.6 kg,10,1,equipment,
battery,Saft VES16 pack,Platform,Platform,EPS,12.5 kg,15,1,equipment,Sized in the power budget
solar_array,Deployable GaAs wing,Platform,Platform,EPS,9.4 kg,20,2,equipment,Two wings
pcdu,Airbus PCDU,Platform,Platform,EPS,14.0 kg,10,1,equipment,
obc,SSTL OBC750,Platform,Platform,OBDH,3.2 kg,5,2,equipment,Cold redundant
mass_memory,SSDR 2 TB,Platform,Platform,OBDH,4.5 kg,15,1,equipment,
s_band_tx,S-band transceiver,Platform,Platform,COMM,1.8 kg,5,2,equipment,
x_band_tx,X-band downlink chain,Platform,Platform,COMM,5.5 kg,15,1,equipment,
s_band_ant,S-band patch antenna,Platform,Platform,COMM,0.3 kg,10,4,equipment,
x_band_ant,X-band horn,Platform,Platform,COMM,2.4 kg,10,1,equipment,
primary_structure,CFRP central tube,Platform,Platform,Structure,48.0 kg,20,1,equipment,
side_panels,Sandwich side panels,Platform,Platform,Structure,26.0 kg,20,1,equipment,
sep_ring_sat,"Adapter ring, satellite side",Platform,Platform,Structure,9.0 kg,10,1,equipment,Stays with the satellite
mli,Multi-layer insulation,Platform,Platform,Thermal,6.5 kg,20,1,equipment,
heaters,Heater lines and thermistors,Platform,Platform,Thermal,2.2 kg,15,1,equipment,
thruster,Hydrazine 1 N thruster,Platform,Platform,Propulsion,0.35 kg,10,4,equipment,
tank,Propellant tank,Platform,Platform,Propulsion,8.8 kg,15,1,equipment,
hydrazine,Hydrazine load,Platform,Platform,Propulsion,22.0 kg,0,1,propellant,No mass margin; carried as delta-V reserve
telescope,TMA telescope assembly,Payload,Payload,Payload,62.0 kg,20,1,equipment,
focal_plane,Focal plane assembly,Payload,Payload,Payload,11.5 kg,15,1,equipment,
payload_electronics,Video processing unit,Payload,Payload,Payload,8.0 kg,10,1,equipment,
payload_radiator,Payload radiator,Payload,Payload,Thermal,3.4 kg,20,1,equipment,
sep_ring_lv,"Adapter ring, launcher side",Launcher,Launcher,Structure,11.0 kg,10,1,equipment,Stays with the launcher
clampband,Clampband and pyros,Launcher,Launcher,Structure,4.2 kg,10,1,equipment,Stays with the launcher
